제목,링크,소관부처_지자체,pblanc_id,벡터스토어 저장
[경기] 시흥시 2025년 중소기업 육성자금 지원 사업 변경 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113239,경기도,PBLN_000000000113239,True
[경기] 2025년 3차 사회적경제조직 협동자산화 지원사업 참여자 추가모집 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113213,경기도,PBLN_000000000113213,True
[광주] 소상공인 임신 특별지원금 지원사업 사업 참여자 모집 공고(소상공인 육아응원패키지 시즌2),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113132,광주광역시,PBLN_000000000113132,True
[광주] 소상공인 출생 특별지원금 지원사업 사업 참여자 모집 공고(소상공인 육아응원패키지 시즌2),https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113131,광주광역시,PBLN_000000000113131,True
[경기] 화성시 2025년 5차 중소기업 운전자금 추가모집 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113097,경기도,PBLN_000000000113097,True
중소기업 기술보호 소송보험 (정책보험) 지원사업 시행계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113071,중소벤처기업부,PBLN_000000000113071,True
[제주] 2025년 하반기 제주관광진흥기금 융자 및 상환지원 계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000113047,제주특별자치도,PBLN_000000000113047,True
2025년 코로나19 피해 소상공인 분할상환 특례 지원 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112950,중소벤처기업부,PBLN_000000000112950,True
[전북] 2025년 2차 1인 자영업자 사회보험료 지원 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112943,전북특별자치도,PBLN_000000000112943,True
[충남] 2025년 중소기업육성자금 지원계획 추가 변경 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112845,충청남도,PBLN_000000000112845,True
[인천] 2025년 하반기 소상공인시장진흥자금 융자 계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112806,인천광역시,PBLN_000000000112806,True
[대구] 달성군 2025년 중소기업 경영안정자금(이차보전) 지원계획 변경 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112804,대구광역시,PBLN_000000000112804,True
